"*sniff*"	"（抽泣）"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"What happened?"	"發生了什麼事？"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"Are you okay?"	"你還好嗎？"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"You know I've been practicing my swordsmanship for a while..."	"你也知道我已經練劍好一陣子了……"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"Well I decided today would be the day I venture into the caves..."	"所以我決定今天下去洞窟探險……"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"...but I got scared. I couldn't do it."	"……但我很害怕。我做不到。"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"I guess I'm not as tough as I thought..."	"我可能沒有自己想像的那麼勇敢……"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"You're safe with me."	"有我在你身邊就不會有危險了。"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"I get scared too."	"我也很害怕。"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"You're crying like a little baby. Stop."	"你哭得像個三歲小孩。別說了。"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"@, I... I really like you... And not just as a friend. You know that, right?"	"@，我……我真的很喜歡你……不只是朋友間的那種喜歡。你明白我的意思吧？"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"I can't believe I'm actually saying this... But I can't keep it in anymore. I've felt this way for a long time."	"真不敢相信我竟然說出口了……但我真的不想再忍下去了。這種想法我已經在心裡藏了好久。"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"You don't have to say anything right now. Let's just stay here for a while..."	"你現在什麼都不用說，就讓我們在這裡待一會吧……"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"I didn't know I felt this way about other girls... until I met you."	"我從沒對其他女孩子有過這種感覺……直到我遇見了你。"	"901756/f Abigail 2500/t 1700 2400/o Abigail"
"Hmmm... "	"嗯……"	"100162/t 600 2600"
"...I was just peering down into this old mine shaft."	"……我只是在瞧瞧這座廢棄礦坑而已。"	"100162/t 600 2600"
"It's been abandoned for decades."	"這個礦坑已經荒廢數十年了。"	"100162/t 600 2600"
"Still, there's probably good ore down there."	"不過可能還是有一些不錯的礦石。"	"100162/t 600 2600"
"But a dark place, undisturbed for so long... I'm afraid ore isn't the only thing you'll find..."	"但是底下烏漆墨黑的，很久沒人下去過了……恐怕有的不只是礦石……"	"100162/t 600 2600"
"Here, take this. You might need it."	"拿去，帶著這個吧。你或許用得上。"	"100162/t 600 2600"
"Name's Marlon, by the way. I run the adventurer's guild right outside."	"順便告訴你，我叫馬龍，在洞窟外面經營探險家公會。"	"100162/t 600 2600"
"I'll keep my eye on you. Prove yourself and I might think about making you a member."	"我會注意你的表現。如果你能證明自己的實力，我可能會考慮讓你加入公會。"	"100162/t 600 2600"
" ...{2}?"	"……{2}？"	"PlayerKilled"
" {2}, wake up!"	"{2}，醒醒！"	"PlayerKilled"
